t_span, c_a, c_b, c_c
0, 1, 0, 0
0.0, 1.0, 0.0, 0.0
0.05, 0.7407799748979661, 0.08640667503401128, 0.17281335006802256
0.1, 0.5487863313845571, 0.15040455620514764, 0.3008091124102953
0.15000000000000002, 0.4065668630509508, 0.19781104564968305, 0.3956220912993661
0.2, 0.30109182895647324, 0.23296939034784223, 0.46593878069568445
0.25, 0.22316834102715857, 0.2589438863242804, 0.5178877726485608
0.30000000000000004, 0.1653221558998108, 0.27822594803339634, 0.5564518960667927
0.35000000000000003, 0.12240668261554222, 0.2925311057948192, 0.5850622115896384
0.4, 0.09076908989270109, 0.3030769700357663, 0.6061539400715326
0.45, 0.0672718210391834, 0.31090939298693887, 0.6218187859738777
0.5, 0.049797133607177135, 0.3167342887976076, 0.6334685775952152
0.55, 0.036920350527366357, 0.3210265498242112, 0.6420530996484224
0.6000000000000001, 0.027381526123247235, 0.32420615795891755, 0.6484123159178351
0.65, 0.020267466530738923, 0.3265775111564203, 0.6531550223128406
0.7000000000000001, 0.015019319811212625, 0.3283268933962624, 0.6566537867925248
0.75, 0.011144226941525004, 0.32961859101949165, 0.6592371820389833
0.8, 0.00825024458574633, 0.33058325180475123, 0.6611665036095025
0.8500000000000001, 0.006110712353089553, 0.3312964292156368, 0.6625928584312736
0.9, 0.004534365916081138, 0.3318218780279729, 0.6636437560559458
0.9500000000000001, 0.0033601695720953924, 0.3322132768093015, 0.664426553618603
1.0, 0.002489343835175954, 0.33250355205494136, 0.6650071041098827
