itr, x, y_numerical, y_analytical, Error
0, 1.0, 1, 1.0, 0.0
1, 1.5, 2.083333333333333, 2.1081976621622465, 0.02486432882891343
2, 2.0, 3.3402777777777777, 3.386294361119891, 0.046016583342113115
3, 2.5, 4.725347222222222, 4.790726829685388, 0.06537960746316607
4, 3.0, 6.212083333333333, 6.29583686600433, 0.08375353267099683
5, 3.5, 7.783144841269841, 7.884670389733788, 0.10152554846394679
6, 4.0, 9.42627267573696, 9.545177444479563, 0.11890476874260258
7, 4.5, 11.132334537981858, 11.268348285493234, 0.13601374751137563
8, 5.0, 12.89426059775762, 13.047189562170502, 0.15292896441288129
9, 5.5, 14.706413930260656, 14.876114507311339, 0.16970057705068342
10, 6.0, 16.564193984526778, 16.75055681536833, 0.1863628308415528
