h, n, error_in_RK2, e2h/eh
0.046, 109.0, 0.002008699826330229, 3.9047013945386224
0.041, 122.0, 0.001600099323837867, 3.9155031797401767
0.036000000000000004, 139.0, 0.0012367891819131671, 3.9251170558936903
0.031, 162.0, 0.0009194548008650827, 3.9356005589363883
0.026000000000000002, 193.0, 0.0006484536527970874, 3.946494067496399
0.021, 239.0, 0.00042414298501469716, 3.9568341506074023
0.016, 313.0, 0.00024683953161996897, 3.967079997330838
0.011, 455.0, 0.00011697249590625347, 3.9773757291591854
0.006, 834.0, 3.489197315076353e-05, 3.987597195245042
0.001, 5000.0, 9.717245141871445e-07, 3.997952281681664
